Ticker,2018 MC,2019 MC,2020 MC,2021 MC
FESA3,1690213941.4671972,2419322367.750013,2351173311.443398,4316256207.37263
VIVR3,565955527.9640133,308265079.3381437,182039298.18493208,178628766.6666667
AMAR3,1566715697.2732544,4008860079.3914795,2055748302.7267456,1147113585.6056213
TUPY3,2683010622.476967,3572444963.041795,2961034409.0016375,2876331300.301353
DEXP3,58056035.93196869,246429610.41312584,683394318.3769814,964410572.9407678
SGPS3,345000004.7683716,614499998.0926514,389499998.09265137,245499992.37060547
PMAM3,1032968808.5357666,1262575822.6226807,434024000.0,438798249.0989685
RAPT3,1813184384.933722,3101353597.6217732,3330961500.1963415,3771091470.9076433
BRKM3,29212760289.340374,22375072585.815426,17891542921.443977,45550899694.54545
SHOW3,491937959.092138,420778764.94023913,267278673.4162122,251120768.2004496
PEAB3,272704381.3735064,382486748.1878088,684995447.2790815,825246217.7850844
BMIN3,67936852.71090303,76804384.43703748,92489132.05032812,115576713.49336879
ETER3,159503626.15340838,243429543.20386082,720389839.6993349,1294632163.952306
TEKA3,2586676.3534063576,2359567.816091954,10612156.11785801,7698090.11251296
MSPA3,302855502.0237847,318253981.20375925,305523821.9556089,308706361.7676465
CCRO3,20427243324.64555,36426643797.06675,26852782124.657555,23411801047.52323
PRIO3,1673454428.7276645,5577056877.233777,11840702536.873531,17434628898.584595
GGBR3,20102666770.519474,28769760950.09245,34676263923.31163,44225225332.39278
CARD3,261499051.56103808,481473873.46446323,606580761.7778299,537275341.6218923
DIRR3,904132129.3490599,1958671011.0840724,1808585923.8004367,1845441156.3866727
BRML3,10258770163.634106,15237746595.46099,8352917494.089921,7011388945.004398
ENBR3,7158648124.476745,11320388878.952662,10370068158.412785,11638776314.35908
BRGE11,275861605.074341,1075200278.5258853,697679167.9719335,541138983.9728593
CIEL3,20614234364.29899,20718843017.667778,10086280270.446983,6160241342.419639
TECN3,175072289.00564477,256203355.78389594,92517876.5187795,165108824.97373053
VLID3,1331620148.5428734,1314213935.1748285,715440899.0652153,665620749.9175162
EQTL3,13697288254.7883,21178620137.432457,22091817832.86971,22205688431.828953
BRSR3,6654801452.075864,7551995914.157312,5331346510.968099,4392718304.6420765
BNBR3,2871916333.456744,7668086809.57893,6135175196.242246,6299937506.6796875
CEED3,2559558661.1287565,6825489763.010017,3958784062.54581,3276235086.244808
RENT3,20779310152.37176,35124994967.76752,51470058627.9647,39866121742.96746
FRIO3,242298254.26506025,250511754.40963855,258725254.55421686,207760486.78374878
ARZZ3,5240581711.161198,6255384837.057789,6721354527.327825,7657200737.282915
EMBR3,15959580425.461561,14524101017.354086,6514865814.817912,18271068990.47928
GPAR3,676518223.4457493,3142051487.76655,2141365611.438545,3350921332.7719297
TPIS3,267950007.06095386,290279203.6178666,400207388.8378266,366099765.41129386
HBOR3,996178915.2229109,3001731090.028435,1613677888.4610362,621007864.3794612
BPAN4,2183505126.424672,12040227373.033964,11234639133.616377,12870040330.629128
MYPK3,3226987787.658834,3194976566.909351,2213214510.9432,2338879629.797696
SBSP3,20130020047.964096,39667220093.55199,30092794551.968437,27463433083.5778
RCSL3,230367481.4504905,145844161.6289722,861806382.6846617,471507552.5629365
NUTR3,3835020.0,5752530.0,28251314.0,32342002.0
PDTC3,465207292.12185204,254961845.39007092,511492685.2554619,549148590.070922
TRIS3,691373760.2929316,2654145315.0407305,2183181045.6242404,1086577120.5172162
