Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.04.10," Reservas de Ativos Biológicos "," "," "," "
2.03.04.11," Reserva Legal "," "," "," "
2.03.04.12," Reserva para Investimento e Expansão "," "," "," "
2.03.04.13," Reserva Incentivos Fiscais "," "," "," "
2.03.04.14," Reserva Ativo Contingente "," "," "," "
2.03.04.15," Reserva Especial de Dividendos "," "," "," "
2.03.04.16," Reserva de Lucros e Reserva de Ativos Biológicos "," 755154 "," 352473 "," 569330 "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," 89781 "," 89781 "," 89781 "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," 11505 "," 7386 "," -270 "
2.03.09," Participação dos Acionistas Não Controladores "," -80 "," -69 "," -59 "
